iter	Passed	Remaining
0	25	25618
1	48	24390
2	70	23505
3	95	23808
4	119	23709
5	142	23681
6	166	23556
7	189	23462
8	213	23545
9	242	23997
10	266	24003
11	296	24433
12	324	24601
13	350	24690
14	375	24674
15	399	24554
16	425	24601
17	450	24584
18	473	24444
19	496	24311
20	517	24146
21	542	24100
22	567	24113
23	595	24218
24	621	24234
25	649	24322
26	677	24408
27	702	24381
28	724	24274
29	751	24292
30	777	24318
31	801	24254
32	825	24187
33	849	24128
34	874	24120
35	899	24089
36	922	24008
37	945	23937
38	969	23877
39	993	23839
40	1017	23804
41	1041	23761
42	1065	23711
43	1096	23832
44	1120	23789
45	1146	23771
46	1169	23717
47	1194	23699
48	1219	23672
49	1244	23644
50	1271	23652
51	1296	23644
52	1320	23592
53	1346	23586
54	1369	23533
55	1393	23495
56	1430	23673
57	1452	23594
58	1475	23534
59	1499	23485
60	1524	23461
61	1548	23428
62	1574	23416
63	1604	23462
64	1628	23423
65	1651	23376
66	1676	23345
67	1698	23280
68	1722	23240
69	1745	23195
70	1768	23136
71	1790	23081
72	1813	23027
73	1837	22995
74	1864	23000
75	1886	22938
76	1912	22919
77	1936	22895
78	1962	22873
79	1985	22832
80	2010	22809
81	2034	22773
82	2056	22720
83	2079	22674
84	2103	22643
85	2127	22612
86	2151	22575
87	2175	22541
88	2198	22505
89	2222	22469
90	2244	22422
91	2272	22432
92	2297	22406
93	2321	22380
94	2347	22359
95	2371	22328
96	2393	22286
97	2415	22234
98	2439	22201
99	2463	22170
100	2486	22131
101	2511	22107
102	2536	22088
103	2557	22037
104	2579	21990
105	2609	22010
106	2634	21985
107	2658	21955
108	2687	21971
109	2711	21936
110	2735	21905
111	2758	21873
112	2781	21832
113	2805	21806
114	2828	21768
115	2852	21741
116	2879	21729
117	2909	21744
118	2933	21719
119	2959	21702
120	2985	21685
121	3009	21660
122	3033	21631
123	3058	21605
124	3080	21566
125	3105	21541
126	3131	21527
127	3155	21495
128	3177	21455
129	3203	21436
130	3226	21402
131	3257	21418
132	3283	21402
133	3306	21369
134	3330	21341
135	3354	21313
136	3378	21280
137	3403	21259
138	3426	21223
139	3448	21182
140	3469	21138
141	3491	21099
142	3514	21059
143	3537	21029
144	3562	21004
145	3585	20970
146	3611	20955
147	3637	20938
148	3659	20903
149	3682	20866
150	3707	20843
151	3731	20816
152	3753	20780
153	3776	20746
